,ID,Treatment,Growth,Water,Temperature
1,1,A,5.473082997,103.64,27.83937672
2,2,A,6.024296562,101.8705263,26.00536823
3,3,A,5.337200878,100.1010526,27.04920356
4,4,A,4.19616556,98.33157895,25.82874496
5,5,A,5.870751434,96.56210526,26.26411297
6,6,A,6.63460368,94.79263158,26.61630815
7,7,A,6.028523556,93.02315789,27.62332624
8,8,A,6.105314179,91.25368421,25.05499148
9,9,A,5.323862133,89.48421053,25.61744675
10,10,A,6.097932171,87.71473684,26.06685392
11,11,A,7.39322744,85.94526316,26.39610898
12,12,A,5.441891376,84.17578947,26.58093415
13,13,A,7.087571122,82.40631579,25.34316489
14,14,A,6.40716311,80.63684211,27.94399842
15,15,A,4.962510218,78.86736842,27.29846169
16,16,A,5.641292636,77.09789474,28.54187223
17,17,A,5.548703687,75.32842105,26.541488
18,18,A,5.077979986,73.55894737,25.46410104
19,19,A,7.95421214,71.78947368,26.73897728
20,20,A,5.63040068,70.02,26.77187814
21,1,B,4.542187897,103.64,25.43707192
22,2,B,5.344421688,101.8705263,27.23093788
23,3,B,6.15544349,100.1010526,27.32046694
24,4,B,4.672534265,98.33157895,27.94685703
25,5,B,6.700049951,96.56210526,26.8371525
26,6,B,3.823835338,94.79263158,25.72198679
27,7,B,4.643509133,93.02315789,25.75661411
28,8,B,5.290961822,91.25368421,25.2974458
29,9,B,5.328583338,89.48421053,25.89769126
30,10,B,4.560661881,87.71473684,25.92976902
31,11,B,5.14010891,85.94526316,26.76454601
32,12,B,6.161972011,84.17578947,26.12938587
33,13,B,4.914330172,82.40631579,25.11292087
34,14,B,5.705758252,80.63684211,27.04142009
35,15,B,5.770205437,78.86736842,28.07250166
36,16,B,5.462498263,77.09789474,25.68528492
37,17,B,6.870762348,75.32842105,27.58163181
38,18,B,6.295258864,73.55894737,26.91292649
39,19,B,5.776121792,71.78947368,26.28584751
40,20,B,6.167666549,70.02,26.01270343
41,1,C,5.066739985,103.64,26.04921494
42,2,C,5.439821207,101.8705263,26.98377304
43,3,C,5.617102979,100.1010526,26.60095203
44,4,C,5.698017755,98.33157895,25.7343442
45,5,C,6.914366123,96.56210526,27.14214634
46,6,C,6.738721353,94.79263158,25.46057541
47,7,C,6.061312447,93.02315789,27.93061608
48,8,C,5.335722588,91.25368421,26.54955249
49,9,C,5.042189079,89.48421053,26.89253272
50,10,C,5.742230259,87.71473684,27.87298204
51,11,C,6.091057317,85.94526316,28.29772586
52,12,C,2.99798347,84.17578947,28.46457283
53,13,C,4.688521603,82.40631579,26.92015767
54,14,C,4.785811696,80.63684211,25.90068154
55,15,C,5.585321339,78.86736842,27.63935042
56,16,C,5.270427107,77.09789474,26.6098665
57,17,C,4.572179849,75.32842105,26.98761783
58,18,C,4.175231659,73.55894737,28.1634837
59,19,C,3.463575878,71.78947368,26.8518042
60,20,C,5.363499585,70.02,25.1836039
61,1,D,6.735318571,103.64,27.10094428
62,2,D,5.425440711,101.8705263,27.26781294
63,3,D,4.902229898,100.1010526,26.00646249
64,4,D,4.098694866,98.33157895,26.11088803
65,5,D,5.222958014,96.56210526,27.96659269
66,6,D,4.939808513,94.79263158,26.20594687
67,7,D,4.957210824,93.02315789,28.06464108
68,8,D,5.294141371,91.25368421,26.07937738
69,9,D,6.251861884,89.48421053,26.93169593
70,10,D,5.957333788,87.71473684,27.70597053
71,11,D,6.190960287,85.94526316,26.13200514
72,12,D,4.784472986,84.17578947,26.97834535
73,13,D,7.454539472,82.40631579,25.30508958
74,14,D,7.940679512,80.63684211,27.87898885
75,15,D,5.894682391,78.86736842,26.18193918
76,16,D,5.648886065,77.09789474,26.81988397
77,17,D,4.790057203,75.32842105,25.59661624
78,18,D,5.433224492,73.55894737,26.88423865
79,19,D,5.887577056,71.78947368,25.27633755
80,20,D,6.200854882,70.02,26.66546905
81,1,E,5.275770698,103.64,26.10884732
82,2,E,6.479017655,101.8705263,27.46587116
83,3,E,6.695754406,100.1010526,26.68540865
84,4,E,6.502401066,98.33157895,26.66787638
85,5,E,6.274507943,96.56210526,25.90066518
86,6,E,3.954416307,94.79263158,27.47200659
87,7,E,6.189708012,93.02315789,28.65321248
88,8,E,3.338664678,91.25368421,28.2177581
89,9,E,6.502397528,89.48421053,26.11730034
90,10,E,4.460911308,87.71473684,23.9522044
91,11,E,6.281845829,85.94526316,25.96820534
92,12,E,4.747608507,84.17578947,27.02802958
93,13,E,5.398726483,82.40631579,26.3948351
94,14,E,6.802992937,80.63684211,26.22874831
95,15,E,4.780093718,78.86736842,26.69966827
96,16,E,4.79934617,77.09789474,25.22486169
97,17,E,7.080500946,75.32842105,27.02397144
98,18,E,5.803774203,73.55894737,27.48341523
99,19,E,5.830213417,71.78947368,25.87022215
100,20,E,5.189063215,70.02,26.44442658
101,21,E,9000,9000,9000
